Código;NOMBRE;"Agua
%";"Kcal.
Energía";"g
Proteina";"g
Grasa Total";"g
Carbo-hidratos";"g
Fibra Diet.
total";"g
Ceniza";"mg
Calcio";"mg
Fosforo";"mg
Hierro";"mg
Tiamina";"mg
Riboflavina";"mg
Niacina";"mg
Vit. C";"mcg
Vit. A Equiv.
Retinol";"g
Ác. grasos
mono-insat.";"g
Ác. grasos
poli-insat.";"g
Ác. Grasos
saturados";"mg
Colesterol";"mg
Potasio";"mg
Sodio";"mg
Zinc";"mg
Magnesio";"mg
Vit. B6";"mcg
Vit. B12";"mcg
Ac. Fólico";"mcg
Folato
Equiv. FD";"%
Fracción
Comestible"
8059;PESCADO CARNE, SALMÓN;71.64;179;19.93;10.43;0.00;0.00;1.33;26;289;0.25;0.05;0.11;8.42;4;136;4.40;2.80;3.10;50;394;47;0.44;95;0.40;1.30;0;30;1.00
8058;PESCADO CARNE, SALMÓN AHUMADO;72.00;117;18.28;4.32;0.00;0.00;2.62;11;164;0.85;0.02;0.10;4.72;0;26;2.02;1.00;0.93;23;175;784;0.31;18;0.28;3.26;0;2;1.00
8038;PESCADO CARNE, SALMÓN ROSADO, ENLATADO;68.81;139;19.78;6.05;0.00;0.00;2.60;213;329;0.84;0.02;0.19;6.54;0;17;1.81;2.05;1.53;55;326;554;0.92;34;0.30;4.40;0;15;1.00
8039;PESCADO CARNE, SARDINA ENLATADA C/ACEITE;59.61;208;24.62;11.45;0.00;0.00;3.38;382;490;2.92;0.08;0.23;5.24;0;32;3.87;5.15;1.53;142;397;505;1.31;39;0.17;8.94;0;12;1.00
8040;PESCADO CARNE, SARDINA ENLATADA C/TOMATE;66.65;186;20.86;10.46;0.74;0.10;1.88;240;366;2.30;0.04;0.23;4.20;1;34;4.82;2.11;2.69;61;341;414;1.40;34;0.12;9.00;0;24;1.00
8041;PESCADO CARNE, SECA SALADA;20.60;308;58.40;3.90;5.80;;11.30;122;351;18.60;0.39;0.54;8.40;;;;;;;;;;;;;;;0.80
8042;PESCADO CARNE, TIBURÓN, FRESCO;73.58;130;20.98;4.51;0.00;0.00;1.39;34;210;0.84;0.04;0.06;2.94;0;70;1.81;1.20;0.93;51;160;79;0.43;49;0.40;1.49;0;3;1.00
8043;PESCADO CARNE, TIBURÓN, FRITA;60.09;228;18.62;13.82;6.39;0.00;1.25;50;194;1.11;0.07;0.10;2.78;0;54;5.93;3.70;3.20;59;155;122;0.48;43;0.30;1.21;10;22;1.00
8057;PESCADO CARNE, TILAPIA, ASADA;71.59;128;26.15;2.65;0.00;0.00;1.14;14;204;0.69;0.09;0.07;4.74;0;0;0.95;0.60;0.94;57;380;56;0.41;34;0.12;1.86;0;6;1.00
8056;PESCADO CARNE, TILAPIA, CRUDA;78.08;96;20.08;1.70;0.00;0.00;0.93;10;170;0.56;0.04;0.06;3.90;0;0;0.49;0.39;0.57;50;302;52;0.33;27;0.16;1.58;0;24;1.00
8044;PESCADO CARNE, TRUCHA, FRESCA;71.42;148;20.77;6.61;0.00;0.00;1.17;43;245;1.50;0.35;0.33;4.50;1;17;3.25;1.50;1.15;58;361;52;0.66;22;0.20;7.79;0;13;0.46
21104;PESCADO EMPANIZADO Y FRITO;58.81;229;18.09;13.33;8.04;0.70;1.26;44;216;1.43;0.07;0.13;2.28;0;8;5.61;3.33;3.29;81;340;280;0.86;27;0.19;1.90;14;39;1.00
21092;PESCADO FILETE, EMPANIZADO-FRITO;53.57;232;14.66;12.29;16.97;0.50;2.51;18;171;2.11;0.11;0.11;2.10;0;11;2.58;6.27;2.82;34;320;532;0.44;24;0.10;1.11;4;20;1.00
21131;PESCADO FRITO CASERO (GUATEMALA);;280;22.4;16.76;8.73;0.29;1.37;25;264;1.15;0.19;0.22;5.51;0;36;9.47;1.59;4.33;117;406;78;0.69;48;0.35;2.89;18;56;1.00
8047;PESCADO SECO PEQUEÑO, PREPARADO C/SAL;13.20;409;43.60;21.60;6.90;;14.70;3471;2028;18.80;0.34;0.24;4.12;0;;;;;;;;;;;;;;1.00
8046;PESCADO, HUEVOS;78.30;100;17.20;3.00;0.00;;1.50;24;274;1.80;0.07;0.40;2.80;10;;;;;;;;;;;;;;1.00
18028;PIE DE LIMÓN;41.70;268;1.50;8.70;47.20;1.20;0.90;56;105;0.61;0.06;0.21;0.65;3;51;2.68;3.65;1.77;45;89;146;0.49;15;0.03;0.17;16;35;1.00
18029;PIE DE MANZANA;52.20;237;1.90;11.00;34.00;1.60;0.90;11;24;1.21;0.13;0.16;1.12;3;29;4.39;2.20;3.80;0;65;266;0.16;7;0.04;0.01;0;4;1.00
18030;PIE DE MELOCOTÓN;54.40;223;1.90;10.00;32.90;0.80;0.80;8;22;0.50;0.06;0.03;0.20;1;10;4.24;3.75;1.51;0;125;270;0.09;6;0.02;0.00;25;47;1.00
21103;PIE MANZANA (MCDONALD);36.98;323;3.07;15.66;43.62;2.00;0.67;19;36;1.99;0.30;0.21;2.64;32;;9.18;1.04;3.99;;63;199;0.23;7;0.05;;;;1.00
22018;PIMIENTA BLANCA;11.42;296;10.40;2.12;68.61;26.20;1.59;265;176;14.31;0.02;0.13;0.21;21;0;0.79;0.62;0.63;0;73;5;1.13;90;0.10;0.00;0;10;1.00
22019;PIMIENTA NEGRA;10.51;255;10.95;3.26;64.81;26.50;4.33;437;173;28.86;0.11;0.24;1.14;21;15;1.01;1.13;0.98;0;1259;44;1.42;194;0.34;0.00;0;10;1.00
13076;PINOL C/CACAO;4.50;418;9.50;12.00;72.30;;1.70;34;260;4.80;0.10;0.29;2.83;;;;;;;;;;;;;;;1.00
13075;PINOL SIMPLE;9.00;370;11.20;5.40;72.90;;1.50;3;73;0.90;0.09;0.18;2.54;;0;1.80;3.30;0.60;0;;;;;;;;;1.00
13077;PINOLILLO;8.50;400;10.10;11.70;68.00;;1.70;18;328;5.50;0.01;0.23;2.29;;;;;;;;;;;;;;;1.00
12125;PIÑA, FRUTA DULCE;85.66;51;0.53;0.11;13.50;1.40;0.20;13;8;0.28;0.08;0.03;0.51;56;3;;;;;108;1;0.12;12;0.11;;0;19;0.52
12127;PIÑA, FRUTA EN ALMIBAR, ENVASADA SOL&LIQ;78.99;78;0.35;0.11;20.20;0.80;0.34;14;7;0.38;0.09;0.03;0.29;7;1;0.01;0.04;0.01;0;104;1;0.12;16;0.07;0.00;0;5;1.00
12126;PIÑA, JUGO ENVASADO, SOL&LIQ;83.51;60;0.42;0.08;15.70;0.80;0.30;14;6;0.28;0.09;0.02;0.28;10;2;0.01;0.03;0.01;0;122;1;0.10;14;0.07;0.00;0;5;1.00
12159;PIÑA, TODA VARIEDAD;86.46;48;0.54;0.12;12.63;1.40;0.24;13;8;0.28;0.08;0.03;0.49;36;3;0.01;0.04;0.01;0;115;1;0.10;12;0.11;0.00;0;15;0.52
12128;PIÑUELA;87.10;44;1.20;0.20;10.70;;0.80;48;6;0.60;0.06;0.02;0.30;48;;;;;;;;;;;;;;0.52
12129;PITAHAYA ROJA;84.40;54;1.40;0.40;13.20;;0.60;10;26;1.30;0.04;0.04;0.30;8;0;;;;;;;;;;;;;0.64
11141;PITO/QUILITE, HOJAS Y BROTES;84.20;48;4.40;0.20;10.00;;1.20;108;80;2.20;0.19;0.19;1.20;37;;;;;;;;;;;;;;0.46
21106;PIZZA DE CARNE Y VEGETALES, CONCHA REGULAR;50.40;244;11.02;10.90;25.38;2.20;2.30;120;183;1.86;0.26;0.27;3.10;0;41;3.79;1.72;4.41;27;184;589;1.24;23;0.10;0.68;36;87;1.00
21108;PIZZA DEPEPPERONI, CONCHA GRUESA;40.80;298;11.97;14.21;30.49;1.80;2.53;146;205;2.14;0.29;0.25;3.84;0;47;4.41;3.46;5.27;25;199;692;1.54;22;0.14;0.64;;;1.00
21049;PIZZA DEPEPPERONI, CONCHA REGULAR;41.35;280;12.86;11.38;31.55;1.70;2.87;155;218;2.14;0.32;0.27;4.03;0;57;4.02;2.03;5.16;26;207;801;1.68;23;0.15;0.68;;;1.00
21093;PIZZA DEQUESO, CARNE Y VEGETALES, CONCHA REGULAR;50.40;244;11.02;10.90;25.38;2.20;2.30;120;183;1.86;0.26;0.27;3.10;0;41;3.79;1.72;4.41;27;184;589;1.24;23;0.10;0.68;36;87;1.00
21107;PIZZA DEQUESO, CONCHA GRUESA;43.40;280;11.73;12.56;29.93;1.70;2.39;208;241;1.86;0.24;0.25;3.91;0;73;3.21;2.75;5.18;21;168;624;1.63;21;0.11;0.64;;;1.00
21048;PIZZA DEQUESO, CONCHA REGULAR;43.29;271;11.93;10.89;31.22;1.80;2.67;209;249;1.95;0.26;0.26;3.30;0;74;2.92;1.84;5.04;24;173;685;1.65;22;0.11;0.70;;;1.00
21073;PLATALINASSNACKS,;4.30;519;2.30;33.60;58.40;7.70;1.40;18;56;1.25;0.09;0.02;0.71;6;4;1.95;0.63;28.97;0;536;6;0.75;76;0.26;0.00;0;14;1.00
21132;PLÁTANO FRITO;;221;1.43;10.22;35.02;2.53;1.28;3;37;0.66;0.05;0.05;0.76;20;61;6.41;0.76;2.41;0;547;4;0.15;40;0.33;0.00;0;24;1.00
12130;PLÁTANO MADURO;65.28;122;1.30;0.37;31.89;2.30;1.17;3;34;0.60;0.05;0.05;0.69;18;56;0.03;0.07;0.14;0;499;4;0.14;37;0.30;0.00;0;22;0.65
12131;PLÁTANO VERDE;62.60;132;1.20;0.10;35.30;0.50;0.80;8;40;0.80;0.07;0.04;0.50;28;130;;;;;;;;;;;;;0.66
12132;PLÁTANO, HARINA (CREMA DE PLÁTANO);;337;3.00;0.60;80.00;;;7;18;0.00;0.07;0.06;1.20;0;0;;;;;;;;;;;;;1.00
13085;POLENTA O CREMA DE MAÍZ, ENRIQUECIDA, POLVO;10.00;371;8.80;1.20;79.60;1.60;0.40;2;73;3.91;0.64;0.38;4.96;0;0;0.30;0.52;0.16;0;137;1;0.41;27;0.15;0.00;200;345;1.00
13084;POLENTA O CREMA DE MAÍZ, NO ENRIQUECIDA, POLVO;10.00;371;8.80;1.20;79.60;1.60;0.40;2;73;1.00;0.13;0.04;1.20;0;0;0.30;0.52;0.16;0;137;1;0.41;27;0.15;0.00;0;5;1.00
21105;POLLO EMPANIZADO FRITO, PIEZA SIN HUESO;47.08;297;15.59;18.82;16.32;0.90;2.19;14;289;0.83;0.09;0.20;5.99;1;5;7.98;5.32;4.02;55;261;574;0.91;25;0.15;0.33;5;15;1.00
21050;POLLO EMPANIZADO FRITO,MUSLO;48.99;291;20.32;18.04;10.61;;2.05;24;162;1.08;0.09;0.29;4.87;0;45;7.39;4.27;4.76;112;301;510;2.19;25;0.22;0.56;11;25;0.77
21051;POLLO EMPANIZADO FRITO,PECHUGA;45.70;303;21.91;18.11;12.01;;2.27;37;188;0.91;0.09;0.18;7.35;0;35;7.50;4.16;4.81;91;347;598;0.95;23;0.35;0.41;13;27;0.79
14044;POLVO DE HORNEAR;6.20;97;0.10;0.40;46.90;2.20;46.40;4332;6869;8.17;0.00;0.00;0.00;0;0;0.01;0.12;0.07;0;10100;90;0.72;29;0.00;0.00;0;0;1.00
12133;POMELO;89.10;38;0.76;0.04;9.62;1.00;0.48;4;17;0.11;0.03;0.03;0.22;61;0;;;;0;216;1;0.08;6;0.04;0.00;;;0.56
21133;POSTRE, MANJAR BLANCO(GUATEMALA);;111;1.80;1.09;20.11;0.13;0.29;46;39;0.21;0.02;0.06;0.20;0;125;0.31;0.05;0.63;4;55;14;0.26;8;0.03;0.10;3;;1.00
21134;POSTRE, RELLENO DE PLÁTANO CON FRIJOLES (GUATEMALA);;210;2.90;0.48;52.59;2.68;1.12;17;64;1.30;0.09;0.06;0.84;23;150;0.04;0.11;0.23;0;524;2;0.35;43;0.68;0.00;45;;1.00
11142;PUERRO, CABEZA O BULBO Y HOJAS;83.00;61;1.50;0.30;14.15;1.80;1.05;59;35;2.10;0.06;0.03;0.40;12;83;0.00;0.17;0.04;0;180;20;0.12;28;0.23;0.00;0;64;0.44
8048;PULPO, FRESCO;80.25;82;14.91;1.04;2.20;0.00;1.60;53;186;5.30;0.03;0.04;2.10;5;45;0.16;0.24;0.23;48;350;230;1.68;30;0.36;20.00;0;16;1.00
21052;PUPUSAS DE CHICHARRON;31.00;276;10.80;1.20;55.40;;1.60;52;193;3.60;0.08;0.11;2.33;1;;;;;;;;;;;;;;1.00
21060;QUESOBURGUESA,GRANDEC/JAMÓNC/VEGETALES;50.05;293;15.55;18.97;14.83;;2.42;119;209;1.98;0.21;0.22;3.61;3;33;7.43;1.52;8.32;48;212;674;2.61;20;0.15;1.13;11;39;1.00
21061;QUESOBURGUESA,GRANDEC/TOCINO;43.60;312;16.41;18.85;19.04;;2.10;83;205;2.43;0.16;0.21;3.40;1;42;7.43;1.39;8.33;57;170;535;3.50;23;0.16;1.20;27;63;1.00
21059;QUESOBURGUESA,GRANDEC/VEGETALES;52.50;257;12.87;15.04;17.53;;2.06;94;142;2.13;0.18;0.21;3.37;4;64;5.76;0.93;6.87;40;203;506;2.10;20;0.13;1.17;24;54;1.00
21062;QUESOBURGUESA,GRANDEDOBLE CARNE C/VEGETALES;51.09;273;14.72;16.92;15.37;;1.90;93;153;2.29;0.14;0.19;2.81;0;24;6.73;1.82;6.85;55;231;445;2.59;20;0.16;1.32;10;36;1.00
21058;QUESOBURGUESA,GRANDES/VEGETALES;38.65;329;16.29;17.83;25.63;;1.60;49;228;2.95;0.26;0.31;6.04;0;100;6.89;1.32;8.02;52;348;859;3.00;21;0.15;1.37;19;53;1.00
21054;QUESOBURGUESA,REGULARC/VEGETALES C/COND.;55.20;233;11.58;12.85;18.27;;2.10;118;140;1.72;0.21;0.15;4.14;2;53;4.65;0.95;5.97;34;149;634;1.70;17;0.10;0.80;28;62;1.00
21056;QUESOBURGUESA,REGULARDOBLE CARNE C/VEGETALES C/COND.;51.20;251;12.80;12.70;21.20;;2.10;103;146;2.06;0.21;0.17;4.85;1;43;4.70;1.60;5.25;36;202;633;2.10;18;0.11;1.16;23;53;1.00
21055;QUESOBURGUESA,REGULARDOBLE CARNE S/VEGETALES S/COND.;42.37;295;17.85;18.37;14.23;;2.39;150;241;2.20;0.16;0.24;3.88;0;64;7.10;1.24;8.39;71;199;410;3.20;21;0.16;1.49;25;62;1.00
21057;QUESOBURGUESA,REGULARDOBLE CARNE Y PAN C/VEG. C/COND.;46.56;285;13.04;15.47;23.30;;1.63;74;153;2.07;0.25;0.19;3.66;1;34;5.54;2.79;5.60;41;171;404;1.81;16;0.12;0.91;25;58;1.00
21053;QUESOBURGUESA,REGULARS/VEGETALES;37.30;313;14.48;14.85;31.13;;2.24;138;192;2.39;0.39;0.39;3.63;0;45;5.66;1.51;6.34;49;161;490;2.32;21;0.09;0.95;27;72;1.00
11143;QUIXTAN, HOJAS;85.40;47;5.80;1.40;5.90;;1.50;133;39;5.50;0.12;0.28;1.64;102;364;;;;;;;;;;;;;0.58
11145;RÁBANO LARGO, RAÍZ;92.60;22;1.10;0.50;4.30;1.60;;30;;0.30;0.06;0.06;0.40;29;3;0.02;0.05;0.03;0;233;39;0.28;9;0.07;0.00;0;25;0.80
11144;RÁBANO REDONDO, RAÍZ;95.40;11;1.50;0.10;1.50;;;24;;0.40;0.03;0.06;0.40;22;0;0.02;0.02;0.03;0;227;21;;16;0.10;0.00;;;0.78
11126;RÁBANO, HOJAS;85.60;52;2.80;0.50;9.90;;;238;;2.80;0.14;0.26;0.60;122;239;0.02;0.02;0.01;0;370;4;0.73;10;;;;;0.82
12158;RAMBUTAN O LICHIS FRESCOS;81.76;66;0.83;0.44;16.53;1.30;0.44;5;31;0.31;0.01;0.06;0.60;72;0;0.12;0.13;0.10;0;171;1;0.07;10;0.10;0.00;0;14;0.60
12157;RAMBUTAN O LICHIS SECOS;22.30;277;3.80;1.20;70.70;4.60;2.00;33;181;1.70;0.01;0.57;3.10;183;0;0.33;0.36;0.27;0;1110;3;0.28;42;0.09;0.00;0;12;0.54
17031;REFRESCO ARTF. S/VIT C, EMPACADO;88.10;43;0.00;0.00;11.60;0.00;0.10;0;0;0.02;;;;0;;;;0.00;0;4;14;;;;;;;1.00
17036;REFRESCO ARTIF. C/VIT C, SABOR FRUTAS, POLVO;1.40;382;0.00;0.10;97.70;0.00;0.80;142;0;0.50;0.00;0.02;0.01;122;0;0.01;0.01;0.06;0;5;42;0.11;0;0.00;0.00;0;0;1.00
17032;REFRESCO ARTIF. C/VIT C, SABOR FRUTAS, PREPARADO;90.35;37;0.00;0.01;9.47;0.00;0.17;18;0;0.01;0.00;0.00;0.00;3;0;0.00;0.00;0.01;0;1;3;0.01;1;0.00;0.00;0;0;1.00
17037;REFRESCO ARTIF. C/VIT C, SABOR LIMÓN, POLVO;0.60;389;0.10;0.00;94.44;0.00;0.30;83;9;0.11;0.00;0.01;0.00;33;0;0.00;0.00;0.00;0;3;139;0.05;1;0.00;0.00;0;0;1.00
17033;REFRESCO ARTIF. C/VIT C, SABOR LIMÓN, PREPARADO;89.10;42;0.00;0.00;10.80;0.00;0.10;11;1;0.02;0.00;0.00;0.00;13;0;0.00;0.00;0.02;0;1;7;0.03;1;0.00;0.00;0;0;1.00
17038;REFRESCO ARTIF. C/VIT C, SABOR NARANJA, POLVO;0.14;386;0.00;0.00;98.94;0.40;0.92;385;151;0.02;0.00;0.68;8.00;231;600;0.00;0.00;0.00;0;190;17;0.01;0;0.80;0.00;0;0;1.00
17034;REFRESCO ARTIF. C/VIT C, SABOR NARANJA, PREPARADO;87.15;49;0.00;0.00;12.65;0.10;0.20;51;19;0.01;0.00;0.09;1.02;30;77;0.00;0.00;0.00;0;24;4;0.01;1;0.10;0.00;;0;1.00
17063;REFRESCO CONCENTRADO C/AZÚCAR;35.10;231;0.30;0.00;64.40;;;;;;;;;;;0.00;0.00;0.00;0;;;;;;;;;1.00
17035;REFRESCO DE AVENA FORTIFICADA, POLVO INSTANTÁNEO;3.18;407;5.59;4.95;83.93;;2.35;648;153;18.10;2.00;1.33;16.67;;1590;;;;;;;;;;;;;1.00
17025;REFRESCO DE CARAO;89.60;39;0.60;0.20;9.10;;0.50;4;11;0.20;0.02;0.01;0.96;4;;;;;;;;;;;;;;1.00
17073;REFRESCO DE CEREALES, AVENA, POLVO (CEREVITA);;381;7.50;3.90;79.10;;2.90;510;335;5.00;0.55;0.20;3.00;35;180;;;;;200;480;;;0.25;0.60;20;;1.00
17074;REFRESCO DE CEREALES, HORCHATA, POLVO (CEREVITA);;384;1.60;0.15;94.00;;0.60;95;75;5.00;0.55;0.20;3.00;35;180;;;;;30;120;;;0.25;0.60;20;;1.00
17075;REFRESCO DE CEREALES, SABOR CHOCOLATE, POLVO (CEREVITA);;373;6.70;1.50;83.00;;2.20;90;130;5.00;0.55;0.20;3.00;35;180;;;;;260;410;;;0.25;0.60;20;;1.00
17026;REFRESCO DE CHICHA DE MAÍZ FERMENTADO;94.50;22;0.00;0.00;5.40;;0.10;158;;0.30;0.00;0.02;;;;;;;;;;;;;;;;1.00
17027;REFRESCO DE CHICHA DE MAÍZ GERMINADO;82.20;69;2.40;0.40;14.80;;0.30;14;34;0.70;0.06;0.11;0.23;;;;;;;;;;;;;;;1.00
17028;REFRESCO DE CHICHA DE PULPA Y NUEZ;97.80;16;0.20;1.60;0.30;;0.10;8;1;0.10;0.00;0.02;0.08;;;;;;;;;;;;;;;1.00
17030;REFRESCO DE HORCHATA C/MORRO;88.50;49;0.20;0.30;11.00;;0.00;9;8;6.60;0.00;0.01;0.06;0;;;;;;;;;;;;;;1.00
11148;REMOLACHA COCIDA S/SAL, ESCURRIDA;87.06;44;1.68;0.18;9.96;2.00;1.12;16;38;0.79;0.03;0.04;0.33;4;2;0.04;0.06;0.03;0;305;77;0.35;23;0.07;0.00;0;80;1.00
11147;REMOLACHA CRUDA;87.58;43;1.61;0.17;9.56;2.80;1.08;16;40;0.80;0.03;0.04;0.33;5;2;0.03;0.06;0.03;0;325;78;0.35;23;0.07;0.00;0;109;0.67
11149;REMOLACHA ENLATADA, SÓLIDOS;90.96;31;0.91;0.14;7.21;1.70;0.78;15;17;1.82;0.01;0.04;0.16;4;1;0.03;0.05;0.02;0;148;194;0.21;17;0.06;0.00;0;30;1.00
11146;REMOLACHA, HOJAS;91.02;22;2.20;0.13;4.33;3.70;2.33;117;41;2.57;0.10;0.22;0.40;30;316;0.03;0.05;0.02;0;762;226;0.38;70;0.11;0.00;0;15;0.56
